"Delete Group","Usuń grupę"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Save Group","Zapisz grupę"
"Delete Quote","Usuń cytat"
"Save Quote","Zapisz cytat"
"Delete Verse","Usuń wers"
"Save Verse","Zapisz wers"
"label","etykieta"
"Update for '%1'","Aktualizuj dla '%1'"
"translation","tłumaczenie"
"Use the following available translations: %s","Użyj następujących dostępnych tłumaczeń: %s"
"For '%s' cache flushed with result '%s'","Dla '%s' pamięć podręczna została opróżniona z wynikiem '%s'"
"Translation","Tłumaczenie"
"Use one of the following available translations: %s","Użyj jednego z następujących dostępnych tłumaczeń: %s"
"Theme Name","Nazwa motywu"
"All changes removed successfully from db.","Wszystkie zmiany zostały pomyślnie usunięte z bazy danych."
"It is not an ajax.","To nie jest ajax."
"CSRF attack possible.","Możliwy atak CSRF."
"Form is broken.","Formularz jest uszkodzony."
"This group no longer exists.","Ta grupa już nie istnieje."
"The group succesfully deleted [ID: %1].","Grupa pomyślnie usunęła [ID: %1]."
"Edit Group","Edytuj grupę"
"Groups","Grupy"
"A total of %1 record(s) have been deleted.","Łącznie %1 rekordów zostało usuniętych."
"New Group","Nowa grupa"
"You saved the group [ID: %1].","Zapisałeś grupę [ID: %1]."
"A total of %1 verse(s) have been assign to it.","Łącznie %1 wersów zostało do niej przypisanych."
"A total of %1 quote(s) have been assign to it.","Łącznie %1 cytatów zostało do niej przypisanych."
"This quote no longer exists.","Ten cytat już nie istnieje."
"The quote succesfully deleted [ID: %1].","Cytat został pomyślnie usunięty [ID: %1]."
"Edit Quote","Edytuj cytat"
"A total of %1 record(s) were updated.","Łącznie %1 rekordów zostało zaktualizowanych."
"Quotes","Cytaty"
"New Quote","Nowy cytat"
"You saved the quote [ID: %1].","Zapisałeś cytat [ID: %1]."
"This verse no longer exists.","Ten werset już nie istnieje."
"The verse succesfully deleted [ID: %1].","Werset został pomyślnie usunięty [ID: %1]."
"Edit Verse","Edytuj werset"
"Verses","Wersety"
"New Verse","Nowy werset"
"You saved the verse [ID: %1].","Zapisałeś werset [ID: %1]."
"--Please Select--","--Wybierz--"
"You are not supposed to edit/save/delete default group in this project.","Nie powinieneś edytować/zapisywać/usuwać domyślnej grupy w tym projekcie."
"Could not save the Group: %1","Nie można zapisać grupy: %1"
"Group with id "%1" does not exist.","Grupa o identyfikatorze „%1” nie istnieje."
"Group with code "%1" does not exist.","Grupa o kodzie „%1” nie istnieje."
"Could not delete the Group: %1","Nie można usunąć grupy: %1"
"Could not save the Quote: %1","Nie można zapisać cytatu: %1"
"Quote with id "%1" does not exist.","Cytat o identyfikatorze „%1” nie istnieje."
"Quote with code "%1" does not exist.","Cytat z kodem "%1" nie istnieje."
"Could not delete the Quote: %1","Nie można usunąć cytatu: %1"
"Could not save the Verse: %1","Nie można zapisać wersetu: %1"
"Verse with id "%1" does not exist.","Werset z id "%1" nie istnieje."
"Verse with code "%1" does not exist.","Werset z kodem "%1" nie istnieje."
"Could not delete the Verse: %1","Nie można usunąć wersetu: %1"
"Edit","Edytuj"
"Torahverse Search","Wyszukiwanie wersetu Tory"
"Siglum","Siglum"
"Choose group:","Wybierz grupę:"
"Choose book:","Wybierz księgę:"
"Choose chapter:","Wybierz rozdział:"
"Choose verse start:","Wybierz początek wersetu:"
"Choose verse stop:","Wybierz koniec wersetu:"
"TorahVerse Settings","Ustawienia wersetu Tory"
"TorahVerse Configuration","Konfiguracja wersetu Tory"
"TorahVerse Pick","Wybierz werset Tory"
"Torah Configuration","Konfiguracja Tory"
"Grids","Siatki"
"Settings","Ustawienia"
"Pick","Wybierz"
"Torah","Tora"
"Torah Verse","Werset Tory"
"General Settings","Ustawienia ogólne"
"Enable","Włącz"
"Menu enabled","Menu włączone"
"Sweep time","Czas przeszukiwania"
"Is vertical sweep possible","Czy możliwe jest przeszukiwanie pionowe?"
"Vertical Sweep time","Czas przeszukiwania pionowego?"
"Is group colours enable","Czy kolory grupy są włączone?"
"Html Template for Verse Slider Frame","Szablon HTML dla ramki suwaka wersetu"
"Html Template for Quote Slider Frame","Szablon HTML dla ramki suwaka cytatu"
"Verses ordered","Uporządkowane wersety"
"Text Colour","Kolor tekstu"
"Background Hover Colour","Kolor najechania kursorem na tło"
"Mode of slider","Tryb suwaka"
"Number of shown rows","Liczba wyświetlanych wierszy"
"Custom Styles","Style niestandardowe"
"Admin Panel Slider","Suwak panelu administracyjnego"
"Override configuration","Zastąp konfigurację"
"Homepage Slider","Suwak strony głównej"
"Placement of a slider","Umieszczenie suwaka"
"Custom Sliders","Suwaki niestandardowe"
"Slider Configurations","Konfiguracje suwaka"
"Slider configurations.","Konfiguracje suwaka."
"Language Settings","Ustawienia językowe"
"Language","Język"
"Translate Preset","Przetłumacz ustawienia wstępne"
"Update/Add Default Groups/Verses/Quotes in proper language<br /><br /> <i>Please remember to save change of language first</i>.","Aktualizuj/Dodaj domyślne grupy/wersety/cytaty w odpowiednim języku<br /><br /> <i>Pamiętaj, aby najpierw zapisać zmianę języka</i>."
"Torah Input","Wprowadzanie Tory"
"Division","Podział"
"Torah Verse Pick enabled","Wybór wersetu Tory włączony"
"Library Settings","Ustawienia biblioteki"
"Cache Enable","Włącz pamięć podręczną"
"BT","BT"
"Biblia Tysiąclecia.","Biblia Tysiąclecia."
"BW","BW"
"Biblia Warszawska.","Biblia Warszawska."
"BR","BR"
"Biblia Warszawsko-Praska.","Biblia Warszawsko-Praska."
"ESP","ESP"
"Edycja Świętego Pawła.","Edycja Świętego Pawła."
"BG","BG"
"Biblia Gdańska.","Biblia Gdańska."
"NG","NG"
"Nowa Biblia Gdańska.","Nowa Biblia Gdańska."
"UG","UG"
"Uwspółcześniona Biblia Gdańska.","Uwspółcześniona Biblia Gdańska."
"BB","BB"
"Biblia Brzeska.","Biblia Brzeska."
"BP","BP"
"Biblia Poznańska.","Biblia Poznańska."
"JW","JW"
"Biblia Jakuba Wujka.","Biblia Jakuba Wujka."
"BM","BM"
"Biblia Mesjańska.","Biblia Mesjańska."
"NS","NS"
"Biblia Nowego Świata.","Biblia Nowego Świata."
"BL","BL"
"Biblia Lubelska.","Biblia Lubelska."
"SZ","SZ"
"Słowo Życia.","Słowo Życia."
"EIB","EIB"
"Przekład Dosłowny.","Przekład Dosłowny."
"TNP","TNP"
"Biblia Toruńska.","Biblia Toruńska."
"KJV","KJV"
"King James Version.","King James Version."
"WEB","WEB"
"Webster Bible.","Webster Bible."
"YLT","YLT"
"Young’s Literal Translation.","Dosłowne tłumaczenie Younga."
"VUL","VUL"
"Łacińska Vulgata.","Łacińska Vulgata."
"GR","GR"
"Grecka Septuaginta.","Grecka Septuaginta."
"Are you sure?","Czy jesteś pewien?"
"Assign to '%s' group","Przypisz do grupy '%s'"
"Placement","Umieszczenie"
"Code","Kod"
"General Information","Informacje ogólne"
"Back","Wstecz"
"Group Name","Nazwa grupy"
"Colour Value","Wartość koloru"
"No Color","Brak koloru"
"Assign Verses","Przypisz wersety"
"Assign Quotes","Przypisz cytaty"
"Add New Group","Dodaj nową grupę"
"Delete","Usuń"
"Delete groups","Usuń grupy"
"Are you sure you want to delete selected groups?","Czy na pewno chcesz usunąć wybrane grupy?"
"ID","ID"
"Name","Nazwa"
"Content","Zawartość"
"Author","Autor"
"Description","Opis"
"Group","Grupa"
"Add New Quote","Dodaj nowy cytat"
"Delete quotes","Usuń cytaty"
"Are you sure you want to delete selected quotes?","Czy na pewno chcesz usunąć wybrane cytaty?"
"Group Assign","Przypisz grupę"
"Verse Name","Nazwa wersu"
"                         <textarea id="preview-result" disabled></textarea>                     ","                         <textarea id="preview-result" disabled></textarea>                     "
"Add New Verse","Dodaj nowy werset"
"Delete verses","Usuń wersety"
"Are you sure you want to delete selected verses?","Czy na pewno chcesz usunąć wybrane wersety?"
"Torah Verse Pick","Wybór wersetu Tory"
"Siglum Search","Wyszukiwarka Siglum"
"Verse Pick:","Wybierz wers:"
"Bible Tools","Narzędzia biblijne"
"January","Styczeń"
"February","Luty"
"March","Marzec"
"April","Kwiecień"
"May","Maj"
"June","Czerwiec"
"July","Lipiec"
"August","Sierpień"
"September","Wrzesień"
"October","Październik"
"November","Listopad"
"December","Grudzień"
"Verse Pick","Wybierz wers"
"Verse Search","Znajdź wers"
"Sigla are not valid or '.' button not pressed yet.","Sigla nieprawidłowe, albo nie wciśnięto '.' przycisku."
